Date,Adj Close
2006-10-28,22.7
2006-11-04,22.98
2006-11-11,23.07
2006-11-18,23.92
2006-11-25,23.68
2006-12-02,24.24
2006-12-09,24.12
2006-12-16,23.78
2006-12-23,24.02
2006-12-30,23.59
2007-01-06,24.29
2007-01-13,24.66
2007-01-20,24.87
2007-01-27,25.25
2007-02-03,25.23
2007-02-10,26.0
2007-02-17,26.47
2007-02-24,25.13
2007-03-03,25.72
2007-03-10,25.58
2007-03-17,26.38
2007-03-24,26.27
2007-03-31,26.55
2007-04-07,26.84
2007-04-14,26.98
2007-04-21,27.16
2007-04-28,27.2
2007-05-05,27.48
2007-05-12,27.81
2007-05-19,27.83
2007-05-26,28.63
2007-06-02,27.89
2007-06-09,28.37
2007-06-16,28.35
2007-06-23,28.08
2007-06-30,28.85
2007-07-07,29.75
2007-07-14,29.68
2007-07-21,26.99
2007-07-28,26.64
2007-08-04,26.82
2007-08-11,25.59
2007-08-18,27.32
2007-08-25,27.15
2007-09-01,26.78
2007-09-08,27.39
2007-09-15,28.83
2007-09-22,29.33
2007-09-29,29.92
2007-10-06,30.2
2007-10-13,29.06
2007-10-20,30.15
2007-10-27,29.76
2007-11-03,28.93
2007-11-10,27.98
2007-11-17,27.53
2007-11-24,29.01
2007-12-01,29.97
2007-12-08,29.23
2007-12-15,29.33
2007-12-22,29.5
2007-12-29,28.68
2008-01-05,28.11
2008-01-12,26.27
2008-01-19,27.03
2008-01-26,28.78
2008-02-02,28.01
2008-02-09,28.3
2008-02-16,29.06
2008-02-23,28.74
2008-03-01,27.84
2008-03-08,28.67
2008-03-15,26.93
2008-03-22,28.37
2008-03-29,30.27
2008-04-05,29.75
2008-04-12,31.21
2008-04-19,30.97
2008-04-26,29.94
2008-05-03,30.65
2008-05-10,32.39
2008-05-17,30.95
2008-05-24,31.4
2008-05-31,31.16
2008-06-07,31.42
2008-06-14,30.63
2008-06-21,29.69
2008-06-28,27.96
2008-07-05,27.93
2008-07-12,28.06
2008-07-19,27.65
2008-07-26,28.1
2008-08-02,27.26
2008-08-09,27.89
2008-08-16,28.17
2008-08-23,28.17
2008-08-30,26.38
2008-09-06,26.99
2008-09-13,27.13
2008-09-20,25.12
2008-09-27,21.52
2008-10-04,18.31
2008-10-11,18.36
2008-10-18,16.32
2008-10-25,18.48
2008-11-01,17.73
2008-11-08,16.2
2008-11-15,14.33
2008-11-22,16.5
2008-11-29,15.63
2008-12-06,16.47
2008-12-13,16.24
2008-12-20,15.99
2008-12-27,17.01
2009-01-03,16.84
2009-01-10,16.26
2009-01-17,15.88
2009-01-24,15.2
2009-01-31,16.34
2009-02-07,15.58
2009-02-14,14.78
2009-02-21,13.98
2009-02-28,13.28
2009-03-07,14.68
2009-03-14,15.26
2009-03-21,16.62
2009-03-28,17.28
2009-04-04,17.31
2009-04-11,17.75
2009-04-18,18.22
2009-04-25,18.68
2009-05-02,19.45
2009-05-09,18.75
2009-05-16,19.09
2009-05-23,19.72
2009-05-30,19.99
2009-06-06,20.34
2009-06-13,18.92
2009-06-20,18.84
2009-06-27,18.35
2009-07-04,17.74
2009-07-11,19.42
2009-07-18,20.98
2009-07-25,21.25
2009-08-01,22.05
2009-08-08,21.74
2009-08-15,22.12
2009-08-22,22.05
2009-08-29,21.91
2009-09-05,22.47
2009-09-12,23.36
2009-09-19,22.38
2009-09-26,21.7
2009-10-03,23.08
2009-10-10,23.48
2009-10-17,23.12
2009-10-24,21.5
2009-10-31,22.49
2009-11-07,23.46
2009-11-14,23.77
2009-11-21,23.71
2009-11-28,23.85
2009-12-05,23.77
2009-12-12,23.44
2009-12-19,24.62
2009-12-26,24.31
